# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 556029 603175 238814 603175
-0.927678380264 -2153.04442518 0.773272992296 533915 602924 308185 841331
-1.93191285127 -752.394925612 0.633447687457 515170 602200 331972 910016
-2.9402325953 -682.195532902 0.375850485185 496953 602703 340031 934315
-3.95089471179 -648.698759 0.0554091692094 483011 603132 298811 942807
-5.09825953715 -628.735137773 0.872096292857 476351 602795 294615 901305
-6.21505828718 -589.436984672 0.966103380788 461316 602137 314661 896419
-7.26144061054 -567.337268337 0.436636457623 446680 602147 335093 916466
-8.26749125047 -554.955096738 0.675576040476 433054 602025 353719 936752
-9.24167899824 -547.617280169 0.823485694026 420771 601898 333132 955210
-10.2945033607 -542.196089849 0.503070682709 409958 601167 401070 933952
-11.1413120642 -539.292560893 0.53212726033 399569 600662 418545 1001330
-12.0147981474 -537.233966662 0.486278322307 389466 600583 424992 1018705
-12.8901649107 -535.765371623 0.0814494212447 378695 600423 360812 1024984
-13.9338048616 -534.489702723 0.620530793924 366309 600122 345874 960577
-14.9550409944 -533.426392334 0.843419256863 353070 599584 384874 945101
-15.8544290349 -532.527013991 0.767875866672 339250 599149 437613 983611
-16.6660684949 -531.739557207 0.122248262026 324610 598755 445189 1035935
-17.5120065962 -530.885518467 0.358345695579 306391 598088 282614 1042899
-18.8142941435 -528.356347556 0.702434845194 291776 595842 244363 878256
-20.0899568754 -524.08325689 0.524931518742 285132 592256 357622 836454
-20.9413018972 -520.985961013 0.872387711423 276794 590075 470290 947297
-21.6442741004 -518.434016743 0.903246516495 270855 589179 389739 1058964
-22.6438471972 -515.113184941 0.655191658628 263067 588191 340837 977553
-23.6969374267 -512.095566021 0.263736485418 255443 588614 314466 929109
-24.7793623726 -509.534791356 0.260501755262 251056 589326 377470 903459
-25.6534110297 -507.738100346 0.61113873121 249236 589534 356876 966590
-26.6498340009 -505.882569533 0.96619032848 250621 589666 353003 946151
-27.6359057991 -504.016672836 0.472904772926 255693 589539 220965 942136
-29.0800976691 -500.694336031 0.280409826266 260260 589176 323021 809873
-30.00020543 -498.314235375 0.0525651150125 258233 589455 367105 912055
-30.9111911764 -496.016935727 0.70988727171 255821 589962 316624 956638
-32.0157484671 -493.344473278 0.00240688857306 253070 589576 366458 905850
-32.921728411 -491.292291278 0.254950862464 248849 588943 317145 954996
-34.0229603219 -489.094978154 0.716233544441 246021 588578 346030 905375
-34.9851933471 -487.381596086 0.280185730757 243144 589120 357519 934757
-35.9466953834 -485.816562571 0.959207802189 242070 589373 344896 946523
-36.9561473927 -484.305423469 0.83634017034 240186 589325 314499 933874
-38.0435297469 -482.812448795 0.115621642991 238681 589517 327877 903684
-39.0572184211 -481.528133479 0.95179528539 237825 590383 357236 917890
-40.0014897085 -480.386063205 0.997360525682 237188 590215 246052 947036
-41.3449472015 -478.82308314 0.684434681937 234894 590003 345366 835764
-42.2299872976 -477.867465401 0.310213885491 233341 590086 367906 935009
-43.163404662 -476.929332495 0.203254816641 231018 589085 335902 956579
-44.2094557963 -475.961626246 0.798555724511 227944 588703 333993 924244
-45.2271190411 -475.116653425 0.643304750463 226379 588613 339458 922249
-46.2265898023 -474.360952731 0.265864325112 223805 587845 386626 926925
-47.1022650806 -473.759518185 0.500390112554 222983 588553 333272 974748
-48.1747139424 -473.066645547 0.677789209744 222924 589145 351567 922090
-49.1393333905 -472.478083021 0.955164701581 222338 589326 350148 940513
-50.1275277172 -471.876338022 0.574207969352 221934 589466 439135 939272
-50.8900737392 -471.431239782 0.949432948722 220970 588408 267656 1027104
-52.2309077696 -470.631551108 0.662436946181 220547 587535 279963 855005
-53.3459309021 -469.959598677 0.171375148862 220487 586852 343976 866587
-54.2707568426 -469.394518592 0.875895885734 222231 586459 474344 930146
-54.9471336065 -468.964261551 0.986213839746 222143 586231 505883 1060174
-55.6891590078 -468.468369589 0.0996442226462 221313 585577 555065 1091100
-56.3675329273 -468.003925419 0.499376073514 222872 584992 588698 1139573
-57.0305358659 -467.53328578 0.375290893156 223096 584525 651636 1172779
-57.6210421769 -467.11361322 0.499767285794 223329 584254 688978 1235385
-58.2077075446 -466.700197661 0.424376089094 222402 583815 703828 1272233
-58.8023186799 -466.273760968 0.972529973724 222319 582339 661722 1285611
-59.4686668 -465.788433742 0.699423310386 222430 581815 586794 1243004
-60.2210423848 -465.240334941 0.186278743861 222358 580463 589968 1166780
-60.9052950384 -464.75290275 0.997306927367 221417 580182 469493 1169629
-61.8187917754 -464.096011504 0.692831635481 220064 577769 485502 1046846
-62.5891039114 -463.543171887 0.451230856069 219549 576267 258341 1061270
-63.9972839988 -462.536735231 0.904789934798 217420 573754 215470 831826
-65.3431064152 -461.592048409 0.707087215043 216337 571979 263248 787201
-66.4372388154 -460.835468187 0.297116626585 217037 573828 304562 836745
-67.4477571245 -460.133561098 0.587139660866 217371 574185 344879 878412
-68.3833886698 -459.490447361 0.550811959663 216767 575956 278221 920470
-69.5775268358 -458.660739985 0.933014094356 216644 576866 322534 854793
-70.5524670957 -457.987525759 0.594702428356 216839 578142 387207 900313
-71.3978401607 -457.405888974 0.625733980785 216349 579220 364727 965990
-72.3721074684 -456.74194641 0.904102508142 215774 579361 388861 943682
-73.2597998318 -456.129206542 0.951465643225 215475 578744 454517 967212
-74.0172068596 -455.618562261 0.526000757315 215244 578993 515542 1033023
-74.7147561507 -455.143908858 0.646921356111 215171 578439 461411 1093476
-75.578746134 -454.556065442 0.903715346222 214129 578035 330454 1039043
-76.7228412309 -453.760920763 0.120560361595 213099 577533 251911 907707
-78.0011456047 -452.851377579 0.371861818269 214140 577560 360791 829262
-78.8352248595 -452.261287733 0.799773908887 212459 577174 370880 937586
-79.7633937725 -451.621508057 0.569576038699 212647 577673 401644 948189
-80.6237550441 -451.021291464 0.366569965622 211730 577526 322979 978777
-81.7313107473 -450.259611565 0.557533850729 211235 577006 298521 899661
-82.8332943804 -449.490125437 0.24530756206 212084 577716 300486 875918
-83.9023491346 -448.748105357 0.345309595985 211244 576967 331863 877122
-84.8745851275 -448.069703993 0.128783970536 210620 577367 298235 908841
-85.9875566931 -447.285503503 0.976470397356 210782 576989 294947 874934
-87.0738784932 -446.529527392 0.472785473173 210169 575881 245950 870491
-88.3343832075 -445.649377019 0.897455277356 207580 573237 350019 818924
-89.1860688213 -445.081312884 0.908350717473 207611 572413 402073 922017
-90.0176782474 -444.511348653 0.433516483975 207311 571282 413681 972952
-90.8742898701 -443.934879347 0.100662806849 206491 570978 401462 984267
-91.7720610051 -443.338333901 0.136552484562 206091 569696 425919 970804
-92.5975842395 -442.778135559 0.782705195608 204755 568789 381911 994281
-93.5548372854 -442.138418277 0.639062214989 204649 568220 462637 949770
-94.2766678828 -441.653988717 0.342241224583 202869 566705 455683 1028833
-95.0926830068 -441.103282833 0.101669897458 202924 566161 414581 1021382
-95.9952351791 -440.495712532 0.483580010772 202414 565658 358481 979793
-97.000645474 -439.833252225 0.640007071813 202540 566146 198750 924220
-98.5299692384 -438.793838298 0.110841936133 199551 564691 256830 763175
-99.6178380316 -438.091364808 0.0542982746575 199795 564626 255482 821071
-100.783104565 -437.360369068 0.000507529438845 198308 564295 246135 819387
-101.983075621 -436.622225762 0.689814150185 199180 564636 307793 810396
-102.951553985 -436.010977909 0.649908934732 199318 565129 307868 872495
-103.992757558 -435.341759133 0.677517000001 198344 565119 326964 872588
-104.974577437 -434.715826184 0.926399067777 197820 564358 213687 890886
-106.396374538 -433.792787954 0.993394155375 197413 565590 278173 779013
-107.425775954 -433.148542387 0.551142666529 197341 566003 314623 843807
-108.412481155 -432.536177997 0.404335764054 197456 566245 381605 880512
-109.250297542 -432.023276156 0.929872116954 196057 565669 390068 946785
-110.138168199 -431.483497741 0.700486293743 196357 565585 265037 955188
-111.416836805 -430.706019199 0.477501817412 196201 567774 347012 832498
-112.293303186 -430.184742481 0.114462845072 197398 568406 303016 914941
-113.39718004 -429.521232135 0.977453498148 196548 568619 332765 871244
-114.36008348 -428.941908231 0.67055370385 195816 568198 387610 900525
-115.204658944 -428.428490838 0.123734216965 195062 568144 316924 955276
-116.306870059 -427.787067943 0.110404739383 193701 567598 106644 884114
-118.399292779 -426.525404263 0.968056116231 192087 565956 114191 672443
-120.155391209 -425.523545524 0.406267454874 191508 563461 180104 677410
-121.474567525 -424.805215467 0.928180985252 190750 562180 189408 741955
-122.834104207 -424.085925681 0.771741009131 189838 558722 235614 747810
-123.986849018 -423.486540025 0.421820064701 190310 559199 312475 794421
-124.920742996 -423.000657994 0.707052053541 189779 560684 272089 872711
-126.084181663 -422.365797093 0.0576139677078 190248 563329 216405 835045
-127.429563186 -421.638092245 0.209967245403 191845 567333 228455 783439
-128.658625942 -420.991008676 0.44391428306 192980 570977 244460 799122
-129.840587407 -420.382605959 0.728274963624 193481 574808 229494 818973
-131.108995207 -419.719334213 0.993312700434 194882 579192 353027 808457
-131.93950473 -419.32371087 0.214432947036 195907 581269 359531 933922
-132.894567653 -418.833950047 0.840919928505 196341 583909 298737 943103
-134.042487757 -418.227005514 0.219166876246 196301 586152 243480 884603
-135.328836779 -417.563031243 0.721187766894 196936 588608 311154 831869
-136.312419513 -417.094745185 0.454024885804 196566 590701 406464 901550
-137.111060582 -416.727506774 0.98276125658 198059 592891 417789 998988
-137.984020342 -416.304101961 0.697422019381 197679 595127 451112 1012648
-138.794333442 -415.917666521 0.260505635558 197924 597334 400887 1048144
-139.755790771 -415.467794283 0.303924415676 198397 599237 481068 999891
-140.489761773 -415.153764138 0.3796840627 198754 601021 675478 1081758
-140.964454273 -414.964446616 0.416192402893 198658 602508 730501 1277469
-141.526133877 -414.739323904 0.204822527798 199494 603867 788689 1333915
-142.054450481 -414.523982226 0.893667360849 200749 605353 604028 1393548
-142.891516557 -414.165332653 0.970685082698 201767 606676 413707 1210387
-143.964428897 -413.693029357 0.563204308353 201058 608225 488587 1021717
-144.704389778 -413.393698878 0.167987209481 200268 609870 469113 1098102
-145.556138588 -413.046344099 0.461825877279 200804 611947 620263 1080807
-146.11475457 -412.828579647 0.317815129707 201675 613366 688255 1233235
-146.700736424 -412.60134661 0.849746198312 202125 614707 708833 1302606
-147.311709712 -412.36344161 0.493744103084 202362 616257 749897 1324737
-147.883369657 -412.140026351 0.890517708478 202739 617519 474532 1367004
-148.940983433 -411.7043937 0.0060973449935 202833 619652 413496 1094014
-149.914186035 -411.310047855 0.823509866235 203336 622142 336364 1035415
-151.037283775 -410.870548709 0.0573774631844 202951 625038 273800 961102
-152.28997077 -410.393732293 0.763301606422 204228 627475 368682 900025
-153.18357958 -410.05682551 0.852854180685 205057 629822 0 0
